;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DEBY031;Kempten (Allgäu)/Westendstraße;städtisches Gebiet;Hintergrund;23;111;0;0
DEBY032;Kulmbach/Konrad-Adenauer-Straße;städtisches Gebiet;Hintergrund;26;104;0;0
DEBY033;Landshut/Podewilsstraße;städtisches Gebiet;Verkehr;37;244;2;2
DEBY035;Lindau (Bodensee)/Holdereggenstraße;städtisches Gebiet;Verkehr;37;138;0;0
DEBY037;München/Stachus;städtisches Gebiet;Verkehr;71;221;0;6
DEBY039;München/Lothstraße;städtisches Gebiet;Hintergrund;42;171;0;0
DEBY043;München/Moosach;städtisches Gebiet;Verkehr;35;136;0;0
DEBY047;Naila/Selbitzer Berg;ländlich stadtnah;Hintergrund;15;70;0;0
DEBY049;Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;18;69;0;0
DEBY052;Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;35;126;0;0
DEBY053;Nürnberg/Bahnhof;städtisches Gebiet;Verkehr;40;215;0;1
DEBY054;Nürnberg/Ziegelsteinstraße;städtisches Gebiet;Verkehr;35;127;0;0
DEBY056;Fürth/Theresienstraße;städtisches Gebiet;Verkehr;33;123;0;0
DEBY062;Regen/Bodenmaiser Straße;vorstädtisches Gebiet;Hintergrund;17;84;0;0
DEBY063;Regensburg/Rathaus;städtisches Gebiet;Verkehr;42;151;0;0
DEBY067;Schwandorf/Wackersdorfer Straße;städtisches Gebiet;Hintergrund;21;101;0;0
DEBY068;Schweinfurt/Obertor;städtisches Gebiet;Verkehr;28;96;0;0
DEBY072;Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;10;44;0;0
DEBY075;Weiden i.d.OPf./Nikolaistraße;städtisches Gebiet;Verkehr;31;141;0;0
DEBY076;Würzburg/Kardinal-Faulhaber-Platz;städtisches Gebiet;Verkehr;34;112;0;0
DEBY077;Würzburg/Kopfklinik;vorstädtisches Gebiet;Hintergrund;30;131;0;0
DEBY079;Bad Reichenhall/Nonn;vorstädtisches Gebiet;Hintergrund;17;98;0;0
DEBY081;Garmisch-Partenkirchen/Kreuzeckbahnstraße;ländlich stadtnah;Hintergrund;9;53;0;0
DEBY085;München/Luise-Kiesselbach-Platz;städtisches Gebiet;Verkehr;69;300;8;22
DEBY088;Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Industrie;28;85;0;0
DEBY089;München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;30;118;0;0
DEBY099;Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;20;109;0;0
DEBY109;Andechs/Rothenfeld;ländlich regional;Hintergrund;13;69;0;0
DEBY110;Augsburg/Karlstraße;städtisches Gebiet;Verkehr;59;177;0;0
DEBY111;Bayreuth/Hohenzollernring;städtisches Gebiet;Verkehr;38;137;0;0
DEBY113;Erlangen/Kraepelinstraße;vorstädtisches Gebiet;Hintergrund;20;111;0;0
DEBY114;München/Prinzregentenstraße;städtisches Gebiet;Verkehr;71;277;10;32
DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;89;328;18;69
DEBY116;Erlangen/Pfarrstraße;städtisches Gebiet;Verkehr;31;156;0;0
DEBY118;Passau/Stelzhamerstraße;vorstädtisches Gebiet;Verkehr;38;147;0;0
DEBY119;Würzburg/Stadtring Süd;städtisches Gebiet;Verkehr;42;166;0;0
DEBY120;Nürnberg/Von-der-Tann-Straße;städtisches Gebiet;Verkehr;53;292;3;6
;Bremen;;;;;;
DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;26;161;0;0
DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;22;92;0;0
DEHB003;Bremen-West;städtisches Gebiet;Hintergrund;28;153;0;0
DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;20;173;0;0
DEHB005;Bremerhaven;städtisches Gebiet;Hintergrund;23;97;0;0
DEHB006;Bremen Verkehr 1;städtisches Gebiet;Verkehr;44;177;0;0
DEHB007;Bremen Verkehr 2;städtisches Gebiet;Verkehr;55;183;0;0
DEHB009;Pappelstr;städtisches Gebiet;Verkehr;40;185;0;0
;Hessen;;;;;;
DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;29;124;0;0
DEHE005;Frankfurt-Höchst;städtisches Gebiet;Verkehr;47;140;0;0
DEHE008;Frankfurt-Ost;städtisches Gebiet;Hintergrund;38;140;0;0
DEHE011;Hanau;städtisches Gebiet;Verkehr;37;150;0;0
DEHE014;Kassel-Nord;städtisches Gebiet;Verkehr;31;128;0;0
DEHE018;Raunheim;städtisches Gebiet;Hintergrund;33;123;0;0
DEHE020;Wetzlar;städtisches Gebiet;Verkehr;34;117;0;0
DEHE022;Wiesbaden-Süd;städtisches Gebiet;Hintergrund;33;149;0;0
DEHE023;Grebenau;ländliches Gebiet;Hintergrund;11;67;0;0
DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;7;60;0;0
DEHE026;Spessart;ländlich regional;Hintergrund;10;59;0;0
DEHE028;Fürth/Odenwald;ländliches Gebiet;Hintergrund;12;84;0;0
DEHE030;Marburg;städtisches Gebiet;Hintergrund;23;86;0;0
DEHE032;Bebra;städtisches Gebiet;Hintergrund;17;65;0;0
DEHE037;Wiesbaden-Ringkirche;städtisches Gebiet;Verkehr;61;241;1;3
DEHE040;Darmstadt-Hügelstraße;städtisches Gebiet;Verkehr;66;264;13;35
DEHE041;Frankfurt-Friedb.Ldstr.;städtisches Gebiet;Verkehr;61;211;0;6
DEHE042;Linden/Leihgestern;ländliches Gebiet;Hintergrund;21;88;0;0
DEHE043;Riedstadt;ländlich stadtnah;Hintergrund;22;96;0;0
DEHE044;Limburg;städtisches Gebiet;Hintergrund;29;131;0;0
