Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;Zahl* der Stundenwerte > 200 µg/m³
DEBE063;B Neukölln-Silbersteinstr.;städtisches Gebiet;Verkehr;56;2
DEBE018;B Schöneberg-Belziger Straße;städtisches Gebiet;Hintergrund;30;0
DEBE061;B Steglitz-Schildhornstr.;städtisches Gebiet;Verkehr;54;1
DEBE010;B Wedding-Amrumer Str.;städtisches Gebiet;Hintergrund;28;0
;Brandenburg;;;;
DEBB068;Bernau, Lohmühlenstr.;städtisches Gebiet;Verkehr;29;0
DEBB055;Brandenburg a.d. Havel;vorstädtisches Gebiet;Hintergrund;16;0
DEBB049;Brandenburg, Neuendorfer Str.;städtisches Gebiet;Verkehr;43;0
DEBB064;Cottbus;städtisches Gebiet;Hintergrund;18;0
DEBB044;Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;40;0
DEBB060;Eberswalde Breite Straße;städtisches Gebiet;Verkehr;28;0
DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;14;0
DEBB007;Elsterwerda;vorstädtisches Gebiet;Hintergrund;17;0
DEBB042;Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;16;0
DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;36;0
DEBB053;Hasenholz;ländlich regional;Hintergrund;9;0
DEBB082;Königs Wusterhausen;vorstädtisches Gebiet;Hintergrund;19;0
DEBB065;Lütte (Belzig);ländlich regional;Hintergrund;10;0
DEBB067;Nauen;vorstädtisches Gebiet;Hintergrund;13;0
DEBB048;Neuruppin;vorstädtisches Gebiet;Hintergrund;15;0
DEBB054;Potsdam Zeppelinstr.;städtisches Gebiet;Verkehr;45;0
DEBB075;Potsdam, Groß Glienicke;ländlich stadtnah;Hintergrund;16;0
DEBB073;Potsdam, Großbeerenstr.;städtisches Gebiet;Verkehr;43;0
DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;20;0
