;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
'DEBW081';Karlsruhre-Nordwest;vorstädtisches Gebiet;Hintergrund;28;240;0;4;;
'DEBW084';Freiburg-Mitte;städtisches Gebiet;Hintergrund;21;84;0;0;;
'DEBW087';Schwäbische Alb ;ländlich regional;Hintergrund;7;71;0;0;;
'DEBW094';Isny;vorstädtisches Gebiet;Hintergrund;17;170;0;0;;
'DEBW096';Ulm-Straße;städtisches Gebiet;Verkehr;48;206;0;1;;
'DEBW097';Freiburg-Straße;städtisches Gebiet;Verkehr;46;191;0;0;;
'DEBW098';Mannheim-Straße;städtisches Gebiet;Verkehr;55;176;0;0;;
'DEBW099';Stuttgart Mitte-Straße;städtisches Gebiet;Verkehr;73;182;0;0;;
'DEBW102';Bad Waldsee;vorstädtisches Gebiet;Hintergrund;15;79;0;0;;
'DEBW103';Odenwald;ländliches Gebiet;Hintergrund;10;85;0;0;;
'DEBW104';Holzhausen BAB;ländliches Gebiet;Verkehr;43;183;0;0;;
'DEBW105';Kenzingen BAB;ländliches Gebiet;Verkehr;53;183;0;0;;
'DEBW106';Leonberg-BAB;vorstädtisches Gebiet;Verkehr;40;166;0;0;;
;Bayern;;;;;;;;
'DEBY001';Ansbach/Residenzstraße;städtisches Gebiet;Verkehr;39;125;0;0;;
'DEBY002';Arzberg/Egerstraße;städtisches Gebiet;Hintergrund;23;73;0;0;;
'DEBY003';Aschaffenburg/Krankenhaus;städtisches Gebiet;Hintergrund;39;129;0;0;;
'DEBY004';Kleinwallstadt/Hofstetter Straße;vorstädtisches Gebiet;Hintergrund;22;94;0;0;;
'DEBY005';Aschaffenburg/Bussardweg;vorstädtisches Gebiet;Hintergrund;38;158;0;0;;
'DEBY006';Augsburg/Königsplatz;städtisches Gebiet;Verkehr;52;162;0;0;;
'DEBY007';Augsburg/Bourges-Platz;städtisches Gebiet;Hintergrund;37;118;0;0;;
'DEBY009';Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;33;99;0;0;;
'DEBY010';Bayreuth/Rathaus;städtisches Gebiet;Verkehr;33;105;0;0;;
'DEBY014';Coburg/Lossaustraße;städtisches Gebiet;Verkehr;31;128;0;0;;
'DEBY015';Erlangen/Werner-von-Siemens-Straße ;städtisches Gebiet;Hintergrund;34;100;0;0;;
'DEBY017';Erlangen/Häusling;ländlich stadtnah;Hintergrund;31;136;0;0;;
'DEBY020';Hof/Berliner Platz ;städtisches Gebiet;Hintergrund;28;98;0;0;;
'DEBY021';Ingolstadt/Rechbergstraße;städtisches Gebiet;Hintergrund;34;115;0;0;;
'DEBY028';Kelheim/Regensburger Straße ;vorstädtisches Gebiet;Industrie;30;69;0;0;;
'DEBY031';Kempten (Allgäu)/Westendstraße;städtisches Gebiet;Hintergrund;29;102;0;0;;
'DEBY032';Kulmbach/Konrad-Adenauer-Straße;städtisches Gebiet;Hintergrund;24;76;0;0;;
'DEBY033';Landshut/Podewilsstraße;städtisches Gebiet;Verkehr;37;118;0;0;;
'DEBY034';Lauf a.d. Pegnitz/Albertistraße;vorstädtisches Gebiet;Hintergrund;32;109;0;0;;
'DEBY037';München/Stachus ;städtisches Gebiet;Verkehr;58;136;0;0;;
'DEBY038';München/Effnerplatz;städtisches Gebiet;Verkehr;52;185;0;0;;
'DEBY039';München/Lothstraße;städtisches Gebiet;Hintergrund;35;133;0;0;;
'DEBY040';München/Pasing ;städtisches Gebiet;Verkehr;54;136;0;0;;
'DEBY043';München/Moosach;städtisches Gebiet;Verkehr;40;179;0;0;;
'DEBY045';München/Westendstraße;städtisches Gebiet;Verkehr;43;154;0;0;;
'DEBY049';Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;15;72;0;0;;
'DEBY052';Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;35;112;0;0;;
'DEBY053';Nürnberg/Bahnhofstraße ;städtisches Gebiet;Verkehr;44;113;0;0;;
'DEBY055';Nürnberg/Olgastraße;städtisches Gebiet;Industrie;38;117;0;0;;
'DEBY056';Fürth/Theresienstraße;städtisches Gebiet;Verkehr;32;94;0;0;;
'DEBY059';Nürnberg/Langwasser;städtisches Gebiet;Verkehr;42;113;0;0;;
'DEBY061';Passau/Kleiner Exerzierplatz;städtisches Gebiet;Verkehr;29;300;1;2;;
