Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert* in µg/m³;"Zahl** der Stundenwerte 
> 200 µg/m³"
DEHE022;Wiesbaden-Süd;städtisches Gebiet;Hintergrund;29;0
DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;7;0
DEHE050;Zierenberg;ländliches Gebiet;Hintergrund;9;0
;Mecklenburg-Vorpommern;;;;
DEMV026;Garz;ländliches Gebiet;Hintergrund;5;0
DEMV017;Göhlen;ländliches Gebiet;Hintergrund;7;0
DEMV004;Gülzow;ländliches Gebiet;Hintergrund;5;0
DEMV019;Güstrow;städtisches Gebiet;Hintergrund;9;0
DEMV024;Leizen;ländliches Gebiet;Hintergrund;6;0
DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;7;0
DEMV003;Neubrandenburg;städtisches Gebiet;Verkehr;21;0
DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;38;0
DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;19;0
DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;31;0
DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;10;0
DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;13;0
DEMV023;Schwerin-Obotritenring;städtisches Gebiet;Verkehr;22;0
DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;18;0
DEMV027;Wolgast-Oberwallstraße;städtisches Gebiet;Verkehr;14;0
;Niedersachsen;;;;
DENI052;Allertal;vorstädtisches Gebiet;Hintergrund;13;0
DENI063;Altes Land;ländliches Gebiet;Hintergrund;14;0
DENI071;Barbis-Verkehr;vorstädtisches Gebiet;Verkehr;20;0
DENI011;Braunschweig;vorstädtisches Gebiet;Hintergrund;15;0
DENI160;Braunschweig Hildesheimer Straße;städtisches Gebiet;Verkehr;36;---
DENI008;Braunschweig Verkehr_alt;städtisches Gebiet;Verkehr;43;---
DENI075;Braunschweig-Verkehr;städtisches Gebiet;Verkehr;40;0
DENI028;Eichsfeld;vorstädtisches Gebiet;Hintergrund;12;0
DENI059;Elbmündung;ländliches Gebiet;Hintergrund;12;0
DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;15;0
DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;17;0
DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;42;0
DENI074;Hameln-Verkehr;städtisches Gebiet;Verkehr;43;---
DENI054;Hannover;städtisches Gebiet;Hintergrund;19;0
DENI149;Hannover Bornumer Straße;städtisches Gebiet;Verkehr;49;---
DENI150;Hannover Friedrich-Ebert-Straße;städtisches Gebiet;Verkehr;57;---
DENI151;Hannover Kurt-Schumacher-Straße;städtisches Gebiet;Verkehr;39;---
DENI152;Hannover Marienstraße;städtisches Gebiet;Verkehr;54;---
DENI153;Hannover Vahrenwalder Straße;städtisches Gebiet;Verkehr;46;---
DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;49;0
DENI066;Hildesheim Verkehr;städtisches Gebiet;Verkehr;46;---
DENI031;Jadebusen;ländliches Gebiet;Hintergrund;11;0
DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;17;0
DENI016;Oker/Harlingerode;vorstädtisches Gebiet;Hintergrund;10;0
DENI143;Oldenburg Heiligengeistwall;städtisches Gebiet;Verkehr;52;0
DENI038;Osnabrück;städtisches Gebiet;Hintergrund;19;0
DENI146;Osnabrück Neuer Graben;städtisches Gebiet;Verkehr;43;---
DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;50;0
DENI058;Ostfries. Inseln;ländliches Gebiet;Hintergrund;9;0
DENI029;Ostfriesland;vorstädtisches Gebiet;Hintergrund;17;0
DENI070;Salzgitter-Drütte;ländliches Gebiet;Industrie;16;0
DENI077;Solling-Süd;ländliches Gebiet;Hintergrund;9;0
DENI053;Südoldenburg;vorstädtisches Gebiet;Industrie;14;0
DENI060;Wendland;ländliches Gebiet;Hintergrund;11;0
DENI041;Weserbergland;vorstädtisches Gebiet;Hintergrund;14;0
DENI020;Wolfsburg;vorstädtisches Gebiet;Hintergrund;20;0
DENI157;Wolfsburg Heßlinger Straße;städtisches Gebiet;Verkehr;37;1
DENI051;Wurmberg;ländliches Gebiet;Hintergrund;6;0
;Nordrhein-Westfalen;;;;
DENW178;Aachen Adalbertsteinweg;städtisches Gebiet;Verkehr;44;---
DENW207;Aachen Wilhelmstraße;städtisches Gebiet;Verkehr;50;2
DENW094;Aachen-Burtscheid;städtisches Gebiet;Hintergrund;14;0
DENW200;Bielefeld Detmolder Straße;städtisches Gebiet;Verkehr;31;0
DENW228;Bielefeld Stapenhorststraße 42;städtisches Gebiet;Verkehr;41;---
DENW361;Bielefeld-Innenstadt;städtisches Gebiet;Verkehr;49;---
DENW067;Bielefeld-Ost;städtisches Gebiet;Hintergrund;22;0
DENW331;Bochum Herner Straße 385;städtisches Gebiet;Verkehr;47;---
DENW230;Bönen Bönener Straße;städtisches Gebiet;Verkehr;38;---
DENW176;Bonn Bornheimer Straße 35a;städtisches Gebiet;Verkehr;41;---
DENW175;Bonn Reuterstraße 24;städtisches Gebiet;Verkehr;50;---
DENW062;Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;30;0
DENW081;Borken-Gemen;ländlich stadtnah;Hintergrund;18;0
DENW364;Bottrop Peterstraße 9;städtisches Gebiet;Verkehr;38;---
DENW021;Bottrop-Welheim;städtisches Gebiet;Industrie;26;0
DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;20;0
DENW262;Dinslaken Hans-Böckler-Straße 9;städtisches Gebiet;Verkehr;36;---
DENW275;Dinslaken Hünxer Straße;städtisches Gebiet;Verkehr;42;---
DENW293;Dinslaken Wilhelm-Lantermann-Straße 33;städtisches Gebiet;Verkehr;35;---
DENW185;Dortmund B1 Rheinlanddamm;städtisches Gebiet;Verkehr;46;---
DENW184;Dortmund B1 Westfalendamm;städtisches Gebiet;Verkehr;42;---
DENW136;Dortmund Brackeler Straße;städtisches Gebiet;Verkehr;49;0
DENW101;Dortmund Steinstraße;städtisches Gebiet;Verkehr;39;0
DENW008;Dortmund-Eving;städtisches Gebiet;Hintergrund;27;0
DENW253;Duisburg Friedrich-Ebert-Straße 30;städtisches Gebiet;Verkehr;36;---
DENW112;Duisburg Kardinal-Galen-Straße;städtisches Gebiet;Verkehr;37;0
DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;34;0
DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;26;0
DENW266;Düren Euskirchener Straße;städtisches Gebiet;Verkehr;61;---
DENW082;Düsseldorf Corneliusstraße;städtisches Gebiet;Verkehr;59;0
DENW340;Düsseldorf Ludenberger Straße;städtisches Gebiet;Verkehr;51;---
DENW362;Düsseldorf Norfer Straße;städtisches Gebiet;Hintergrund;32;---
DENW354;Düsseldorf Südring;städtisches Gebiet;Verkehr;38;0
DENW216;Düsseldorf-Bilk;städtisches Gebiet;Verkehr;56;---
DENW071;Düsseldorf-Lörick;städtisches Gebiet;Hintergrund;25;0
DENW210;Erwitte Soester Straße 9A;städtisches Gebiet;Verkehr;35;---
DENW287;Eschweiler Indestraße;städtisches Gebiet;Verkehr;43;---
DENW161;Essen Alfredstraße 9/11;städtisches Gebiet;Verkehr;48;---
DENW162;Essen Brückstraße;städtisches Gebiet;Verkehr;42;---
DENW134;Essen Gladbecker Straße;städtisches Gebiet;Verkehr;43;1
DENW169;Essen In der Baumschule;städtisches Gebiet;Hintergrund;29;---
DENW277;Essen Krayer Straße 213;städtisches Gebiet;Verkehr;44;---
DENW215;Essen-Frohnhausen;städtisches Gebiet;Verkehr;50;---
DENW043;Essen-Ost Steeler Straße;städtisches Gebiet;Verkehr;36;0
DENW247;Essen-Schuir (LANUV);vorstädtisches Gebiet;Hintergrund;33;0
DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;27;0
DENW351;Gelsenkirchen Grothusstraße;städtisches Gebiet;Verkehr;35;---
DENW208;Gelsenkirchen Kurt-Schumacher-Straße;städtisches Gebiet;Verkehr;50;0
DENW022;Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;26;0
DENW225;Gevelsberg Hagener Straße;städtisches Gebiet;Verkehr;36;---
DENW299;Gladbeck Grabenstraße 42;ländliches Gebiet;Verkehr;41;---
DENW255;Hagen Enneper Straße;städtisches Gebiet;Verkehr;35;---
DENW133;Hagen Graf-von-Galen-Ring;städtisches Gebiet;Verkehr;49;0
DENW281;Hagen Märkischer Ring 85;städtisches Gebiet;Verkehr;49;---
DENW137;Hagen Wehringhauser Straße;städtisches Gebiet;Verkehr;25;---
DENW222;Halle (Westfalen) Lange Straße;städtisches Gebiet;Verkehr;40;---
DENW195;Hamm Münsterstraße;städtisches Gebiet;Verkehr;39;---
DENW029;Hattingen-Blankenstein;vorstädtisches Gebiet;Hintergrund;18;0
DENW203;Herne Recklinghauser Straße;städtisches Gebiet;Verkehr;41;0
DENW058;Hürth;vorstädtisches Gebiet;Industrie;21;0
DENW267;Hürth Luxemburger Straße 344;städtisches Gebiet;Verkehr;45;---
DENW329;Jackerath;ländliches Gebiet;Industrie;19;0
DENW337;Jüchen-Hochneukirch;ländlich stadtnah;Industrie;18;0
DENW334;Kamen Bahnhofstraße 21;städtisches Gebiet;Verkehr;33;---
DENW358;Köln Bergisch Gladbacher Straße;städtisches Gebiet;Verkehr;42;---
DENW211;Köln Clevischer Ring 3;städtisches Gebiet;Verkehr;66;1
DENW303;Köln Dellbrücker Hauptstraße;städtisches Gebiet;Verkehr;40;---
DENW332;Köln Hauptstraße;städtisches Gebiet;Verkehr;39;---
DENW148;Köln Justinianstraße;städtisches Gebiet;Verkehr;54;---
DENW353;Köln Lindweilerweg 144;städtisches Gebiet;Verkehr;42;---
DENW336;Köln Luxemburger Straße;städtisches Gebiet;Verkehr;50;---
DENW151;Köln Neumarkt;städtisches Gebiet;Verkehr;51;---
DENW212;Köln Turiner Straße;städtisches Gebiet;Verkehr;46;0
DENW053;Köln-Chorweiler;städtisches Gebiet;Hintergrund;25;0
DENW249;Köln-Junkersdorf Statthalterhofweg 70;städtisches Gebiet;Verkehr;35;---
DENW297;Köln-Meschenich Brühler Landstraße;vorstädtisches Gebiet;Verkehr;40;---
DENW059;Köln-Rodenkirchen;vorstädtisches Gebiet;Hintergrund;31;0
DENW219;Köln-Weiden;städtisches Gebiet;Verkehr;52;---
DENW116;Krefeld (Hafen);vorstädtisches Gebiet;Industrie;28;0
DENW251;Krefeld Kölner Straße 209;städtisches Gebiet;Verkehr;37;---
