Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEBY124;Burgbernheim/Grüne Au;ländlich regional;Hintergrund;11;0;Burgbernheim/Grüne;Au;;;;
DEBY012;Burghausen/Marktler Straße;vorstädtisches Gebiet;Hintergrund;20;0;Burghausen/Marktler;Straße;;;;
DEBY113;Erlangen/Kraepelinstraße;vorstädtisches Gebiet;Hintergrund;16;0;Erlangen/Kraepelinstraße;;;;;
DEBY196;Garmisch-Partenkirchen/Wasserwerk;ländlich stadtnah;Hintergrund;9;0;Garmisch;Partenkirchen/Wasserwerk;;;;
DEBY020;Hof/LfU;vorstädtisches Gebiet;Hintergrund;15;0;Hof/LfU;;;;;
DEBY021;Ingolstadt/Rechbergstraße;städtisches Gebiet;Verkehr;23;0;Ingolstadt/Rechbergstraße;;;;;
DEBY028;Kelheim/Regensburger Straße;städtisches Gebiet;Verkehr;19;0;Kelheim/Regensburger;Straße;;;;
DEBY031;Kempten (Allgäu)/Westendstraße;vorstädtisches Gebiet;Hintergrund;19;0;Kempten;(Allgäu)/Westendstraße;;;;
DEBY004;Kleinwallstadt/Hofstetter Straße;ländlich stadtnah;Hintergrund;15;0;Kleinwallstadt/Hofstetter;Straße;;;;
DEBY032;Kulmbach/Konrad-Adenauer-Straße;städtisches Gebiet;Hintergrund;19;0;Kulmbach/Konrad;Adenauer;Straße;;;
DEBY033;Landshut/Podewilsstraße;städtisches Gebiet;Verkehr;24;0;Landshut/Podewilsstraße;;;;;
DEBY035;Lindau (Bodensee)/Friedrichshafener Straße;städtisches Gebiet;Verkehr;22;0;Lindau;(Bodensee)/Friedrichshafener;Straße;;;
DEBY013;Mehring/Sportplatz;ländlich regional;Hintergrund;13;0;Mehring/Sportplatz;;;;;
DEBY189;München/Allach;vorstädtisches Gebiet;Hintergrund;21;0;München/Allach;;;;;
DEBY089;München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;19;0;München/Johanneskirchen;;;;;
DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;63;1;München/Landshuter;Allee;;;;
DEBY039;München/Lothstraße;städtisches Gebiet;Hintergrund;27;0;München/Lothstraße;;;;;
DEBY037;München/Stachus;städtisches Gebiet;Verkehr;42;0;München/Stachus;;;;;
DEBY049;Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;9;0;Neustadt;a.d.;Donau/Eining;;;
DEBY052;Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;27;0;Neu;Ulm/Gabelsbergerstraße;;;;
DEBY053;Nürnberg/Bahnhof;städtisches Gebiet;Verkehr;32;0;Nürnberg/Bahnhof;;;;;
DEBY058;Nürnberg/Muggenhof;städtisches Gebiet;Hintergrund;25;0;Nürnberg/Muggenhof;;;;;
DEBY120;Nürnberg/Von-der-Tann-Straße;städtisches Gebiet;Verkehr;40;0;Nürnberg/Von;der;Tann;Straße;;
DEBY121;Oberaudorf/Inntal-Autobahn;ländlich stadtnah;Verkehr;28;0;Oberaudorf/Inntal;Autobahn;;;;
DEBY187;Oettingen/Goethestraße;vorstädtisches Gebiet;Hintergrund;15;0;Oettingen/Goethestraße;;;;;
