Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEST077;Magdeburg/West;städtisches Gebiet;Hintergrund;16;0;Magdeburg/West;;;;;
DEST105;Stendal Stadtsee;städtisches Gebiet;Hintergrund;10;0;Stendal;Stadtsee;;;;
DEST098;Unterharz / Friedrichsbrunn;ländlich regional;Hintergrund;4;0;Unterharz;/;Friedrichsbrunn;;;
DEST108;Weißenfels/Am Krug;städtisches Gebiet;Verkehr;15;0;Weißenfels/Am;Krug;;;;
DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;12;0;Wernigerode/Bahnhof;;;;;
DEST066;Wittenberg/Bahnstrasse;städtisches Gebiet;Hintergrund;10;0;Wittenberg/Bahnstrasse;;;;;
DEST092;Wittenberg/Dessauer Strasse;städtisches Gebiet;Verkehr;25;0;Wittenberg/Dessauer;Strasse;;;;
DEST089;Zartau/Waldstation;ländlich regional;Hintergrund;6;0;Zartau/Waldstation;;;;;
;Schleswig-Holstein;;;;;Schleswig;Holstein;;;;
DESH008;Bornhöved;ländlich regional;Hintergrund;9;0;Bornhöved;;;;;
DESH035;Brunsbüttel-Cuxhavener Straße;städtisches Gebiet;Hintergrund;22;0;Brunsbüttel;Cuxhavener;Straße;;;
DESH056;Eggebek;ländlich regional;Hintergrund;9;0;Eggebek;;;;;
DESH059;Elmshorn-Holstenstraße;städtisches Gebiet;Verkehr;29;--- 1);Elmshorn;Holstenstraße;;;;
DESH022;Flensburg;städtisches Gebiet;Verkehr;27;0;Flensburg;;;;;
DESH025;Itzehoe Lindenstr.;städtisches Gebiet;Verkehr;32;0;Itzehoe;Lindenstr.;;;;
DESH027;Kiel-Bahnhofstr. Verk.;städtisches Gebiet;Verkehr;39;0;Kiel;Bahnhofstr.;Verk.;;;
DESH057;Kiel-Bremerskamp;städtisches Gebiet;Hintergrund;13;0;Kiel;Bremerskamp;;;;
DESH052;Kiel-Theodor-Heuss-Ring;städtisches Gebiet;Verkehr;49;0;Kiel;Theodor;Heuss;Ring;;
DESH058;Lauenburg-Murjahnstraße;städtisches Gebiet;Hintergrund;10;0;Lauenburg;Murjahnstraße;;;;
DESH053;Lübeck Moislinger Allee;städtisches Gebiet;Verkehr;26;0;Lübeck;Moislinger;Allee;;;
DESH023;Lübeck-St. Jürgen;städtisches Gebiet;Hintergrund;14;0;Lübeck;St.;Jürgen;;;
DESH030;Norderstedt;städtisches Gebiet;Verkehr;36;0;Norderstedt;;;;;
DESH060;Rendsburg-Materialhofstraße;städtisches Gebiet;Verkehr;33;--- 1);Rendsburg;Materialhofstraße;;;;
;Thüringen;;;;;Thüringen;;;;;
DETH011;Altenburg Theaterplatz;städtisches Gebiet;Hintergrund;15;0;Altenburg;Theaterplatz;;;;
DETH026;Dreißigacker;ländlich regional;Hintergrund;7;0;Dreißigacker;;;;;
DETH013;Eisenach Werneburgstr.;städtisches Gebiet;Hintergrund;13;0;Eisenach;Werneburgstr.;;;;
DETH117;Erfurt Bautzener Weg;vorstädtisches Gebiet;Hintergrund;14;0;Erfurt;Bautzener;Weg;;;
DETH043;Erfurt Bergstr.;städtisches Gebiet;Verkehr;27;0;Erfurt;Bergstr.;;;;
DETH081;Erfurt Heinrichstr;städtisches Gebiet;Verkehr;30;0;Erfurt;Heinrichstr;;;;
DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Hintergrund;17;0;Erfurt;Krämpferstr.;;;;
DETH099;Erfurt Walkmühlstr.;städtisches Gebiet;Verkehr;21;--- 1);Erfurt;Walkmühlstr.;;;;
DETH009;Gera Friedericistr.;städtisches Gebiet;Hintergrund;17;0;Gera;Friedericistr.;;;;
DETH097;Gera Str.des Friedens;städtisches Gebiet;Verkehr;28;--- 1);Gera;Str.des;Friedens;;;
DETH098;Gera Theaterstr. PS;städtisches Gebiet;Verkehr;28;--- 1);Gera;Theaterstr.;PS;;;
DETH036;Greiz Mollbergstr.;städtisches Gebiet;Hintergrund;14;0;Greiz;Mollbergstr.;;;;
DETH061;Hummelshain;ländlich abgelegen;Hintergrund;5;0;Hummelshain;;;;;
DETH041;Jena Dammstr.;städtisches Gebiet;Hintergrund;15;0;Jena;Dammstr.;;;;
DETH075;Jena Westbahnhofstr.;städtisches Gebiet;Verkehr;25;--- 1);Jena;Westbahnhofstr.;;;;
DETH095;Mühlhausen Bastmarkt;städtisches Gebiet;Hintergrund;14;0;Mühlhausen;Bastmarkt;;;;
DETH100;Mühlhausen Petristeinweg;städtisches Gebiet;Verkehr;33;--- 1);Mühlhausen;Petristeinweg;;;;
DETH091;Mühlhausen Wanfrieder Str;städtisches Gebiet;Verkehr;23;0;Mühlhausen;Wanfrieder;Str;;;
DETH027;Neuhaus;ländlich abgelegen;Hintergrund;5;0;Neuhaus;;;;;
DETH018;Nordhausen;städtisches Gebiet;Hintergrund;17;0;Nordhausen;;;;;
DETH042;Possen;ländlich abgelegen;Hintergrund;5;0;Possen;;;;;
DETH005;Saalfeld;städtisches Gebiet;Hintergrund;12;0;Saalfeld;;;;;
DETH128;Saalfeld Friedens;städtisches Gebiet;Verkehr;28;--- 1);Saalfeld;Friedens;;;;
DETH102;Suhl Dr.Th.-Neubauer-Str.;städtisches Gebiet;Verkehr;29;--- 1);Suhl;Dr.Th.;Neubauer;Str.;;
DETH072;Suhl F.-König-Str;städtisches Gebiet;Verkehr;22;0;Suhl;F.;König;Str;;
DETH101;Weimar Jenaer Str.;städtisches Gebiet;Verkehr;28;--- 1);Weimar;Jenaer;Str.;;;
DETH093;Weimar Schwanseestr.;städtisches Gebiet;Hintergrund;15;0;Weimar;Schwanseestr.;;;;
DETH083;Weimar Steubenstr.;städtisches Gebiet;Verkehr;21;0;Weimar;Steubenstr.;;;;
;Umweltbundesamt;;;;;Umweltbundesamt;;;;;
DEUB046;Forellenbach;ländlich abgelegen;Hintergrund;3;0;Forellenbach;;;;;
DEUB030;Neuglobsow;ländlich regional;Hintergrund;4;0;Neuglobsow;;;;;
DEUB004;Schauinsland;ländlich regional;Hintergrund;2;0;Schauinsland;;;;;
DEUB029;Schmücke;ländliches Gebiet;Hintergrund;3;0;Schmücke;;;;;
DEUB005;Waldhof;ländliches Gebiet;Hintergrund;7;0;Waldhof;;;;;
DEUB001;Westerland;ländliches Gebiet;Hintergrund;5;0;Westerland;;;;;
DEUB028;Zingst;ländliches Gebiet;Hintergrund;5;0;Zingst;;;;;
