Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
03460  VECHTA;71 120;45 155;24 668;1 254;214;43;3 988;18 244;14 322;29 969;3 550;12;341;486;4 494;7 647;9 889;1 878;12;134;
03461  WESERMARSCH;46 979;32 999;12 528;1 419;197;33;3 055;12 600;9 079;19 158;2 217;7;308;328;2 400;4 078;4 623;847;7;112;
03462  WITTMUND;31 270;22 430;7 938;890;163;12;2 254;9 090;5 714;12 178;1 361;3;265;214;1 730;2 570;2 723;513;3;113;
RB ZUSAMMEN;1 294 906;876 123;385 751;32 114;5 417;918;77 677;333 290;248 337;545 115;68 570;176;7 359;7 555;66 980;119 744;153 929;31 640;176;2 965;
LAND INSGESAMT;4 175 413;2 952 564;1 146 427;72 654;13 385;3 768;263 533;1 029 593;744 768;1 755 578;301 247;913;27 448;22 990;179 979;343 011;450 638;129 627;912;10 805;
BREMEN;;;BREMEN;;;;;;;;;;BREMEN;;;;;;;;
04011  BREMEN,STADT;220 851;163 536;54 598;2 378;403;339;15 095;52 278;38 319;91 858;17 336;53;1 395;904;6 740;14 927;22 961;7 889;53;562;
04012  BREMERHAVEN,STADT;44 215;33 460;10 170;524;92;61;2 619;10 885;7 924;19 524;2 703;15;213;198;1 455;3 095;4 194;1 053;15;72;
LAND INSGESAMT;265 066;196 996;64 768;2 902;495;400;17 714;63 163;46 243;111 382;20 039;68;1 608;1 102;8 195;18 022;27 155;8 942;68;634;
NORDRHEIN-WESTFALEN;;;NORDRHEIN-WESTFALEN;;;;;;;;;;NORDRHEIN-WESTFALEN;;;;;;;;
RB DUESSELDORF;;;;;;;;;;;;;;;;;;;;;
05111  DUESSELDORF,STADT;274 934;181 549;89 852;2 775;779;758;18 393;53 299;44 655;118 079;33 106;131;1 778;911;8 180;19 980;38 741;20 901;131;656;
05112  DUISBURG,STADT;213 133;162 081;46 764;3 843;233;445;16 660;52 799;38 075;88 243;12 542;20;1 033;601;6 930;14 485;19 124;4 862;20;432;
05113  ESSEN,STADT;263 083;197 836;61 082;3 938;853;227;17 881;58 982;45 820;117 241;19 541;55;733;647;7 255;16 494;27 157;8 895;55;251;
05114  KREFELD,STADT;106 637;77 460;26 633;2 280;191;264;7 663;24 162;18 864;46 064;7 433;26;786;426;3 526;8 005;11 032;3 207;26;286;
05116  MOENCHENGLADBACH, STADT;121 432;87 819;30 654;2 645;165;314;8 759;28 158;22 402;52 296;7 027;25;957;589;4 350;9 153;12 755;3 249;25;389;
05117  MUELHEIM A.D.RUHR,STADT;85 953;64 834;20 038;1 000;124;81;5 646;18 843;15 105;38 743;6 073;20;343;240;2 496;5 698;8 664;2 659;20;112;
05119  OBERHAUSEN,STADT;100 147;77 968;20 388;1 616;95;175;7 280;24 129;17 687;43 616;5 784;6;454;324;2 943;6 277;8 457;2 083;6;175;
05120  REMSCHEID,STADT;56 129;41 366;14 155;562;93;46;3 159;11 398;9 854;26 455;4 144;14;265;167;1 692;4 139;6 150;1 796;14;84;
05122  SOLINGEN,STADT;80 991;60 806;19 092;989;138;104;5 598;18 632;13 931;34 476;6 734;13;378;309;2 389;5 649;7 398;3 070;13;116;
05124  WUPPERTAL,STADT;154 440;115 225;37 276;1 802;234;137;9 950;35 000;27 180;69 452;10 259;27;575;437;4 775;11 080;16 166;4 310;27;230;
05154  KLEVE;165 662;103 660;54 000;7 672;146;330;10 963;39 352;34 777;68 551;8 611;13;1 366;1 125;8 834;17 748;21 237;4 160;13;650;
05158  METTMANN;267 180;191 769;71 987;3 171;450;253;16 275;56 662;47 854;121 650;20 009;90;1 237;1 005;8 613;19 849;31 411;10 110;90;450;
05162  NEUSS;242 608;171 931;66 530;3 743;519;404;15 624;49 941;43 596;107 256;17 624;73;2 057;1 073;7 876;18 860;28 617;8 680;73;874;
