;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
BRANDENBURG ;;;;;;;;;;;;;;;;;;;;;
12051 BRANDENBURG/HAVEL,STADT ;33.800;25.018;8.310;276;171;8;17;510;3.640;3.832;12.019;9.649;3.807;105;39;458;1.235;1.946;3.328;1.238;36
12052 COTTBUS, STADT ;48.178;35.932;11.614;357;230;17;28;817;5.235;5.398;16.960;13.858;5.302;131;58;550;1.741;2.533;4.788;1.874;39
12053 FRANKFURT/ODER,STADT ;27.974;21.348;6.110;360;125;14;17;453;2.790;3.036;9.844;8.227;3.348;104;48;302;815;1.322;2.540;1.048;24
12054 POTSDAM,STADT ;71.937;49.793;20.825;866;366;57;30;1.166;6.558;7.201;24.404;22.199;9.456;185;101;967;2.600;4.590;8.559;3.820;88
12060 BARNIM ;100.078;71.975;26.099;1.453;453;59;39;1.837;11.454;11.844;34.950;28.636;9.838;307;158;1.715;4.179;6.191;10.307;3.305;108
12061 DAHME-SPREEWALD ;97.721;67.387;28.085;1.551;622;37;39;2.055;11.262;11.446;33.737;28.104;9.834;232;174;1.625;4.287;6.729;11.371;3.684;80
12062 ELBE-ELSTER ;63.007;44.648;17.396;696;207;25;35;1.763;8.769;7.956;22.372;15.993;5.210;205;141;1.198;2.861;4.495;6.589;1.992;63
12063 HAVELLAND ;88.922;62.682;24.561;1.206;400;40;33;1.656;9.792;10.305;31.461;25.107;9.159;311;147;1.417;3.778;6.209;9.553;3.216;131
12064 MAERKISCH-ODERLAND ;111.413;80.507;28.649;1.660;523;28;46;2.337;13.136;13.026;39.092;30.703;10.674;513;201;1.833;4.462;6.895;11.286;3.688;136
12065 OBERHAVEL ;116.383;83.176;30.840;1.732;554;51;30;2.353;13.036;13.691;40.875;32.760;10.925;438;175;1.837;4.719;7.871;12.136;3.768;138
12066 ODERSPREEWALD-LAUSITZ ;65.076;46.304;17.772;694;258;14;34;1.446;7.539;7.787;22.842;18.041;6.379;182;92;989;2.662;4.378;7.095;2.450;46
12067 ODER-SPREE ;104.115;74.497;27.856;1.332;360;37;33;1.951;11.317;12.104;36.700;30.141;10.501;366;154;1.609;4.194;6.494;11.262;3.936;106
12068 OSTPRIGNITZ-RUPPIN ;56.609;38.365;17.294;776;133;26;15;1.112;6.782;7.084;21.066;14.941;4.665;278;92;1.159;2.832;4.554;6.459;2.025;93
12069 POTSDAM-MITTELMARK ;122.583;81.831;38.577;1.600;462;68;45;2.292;12.084;13.626;42.435;36.832;13.373;316;190;2.120;5.782;9.369;15.602;5.204;115
12070 PRIGNITZ ;44.679;30.895;13.183;464;104;14;19;974;5.638;5.513;16.522;11.759;3.545;163;90;927;2.133;3.223;5.227;1.464;52
12071 SPREE-NEISSE ;70.255;51.763;17.642;594;210;16;30;1.572;8.845;8.416;25.513;18.816;5.849;324;100;1.110;2.955;4.309;7.064;1.984;70
12072 TELTOW-FLAEMING ;97.671;66.964;28.833;1.463;349;36;26;2.158;10.936;10.835;33.706;28.157;10.270;220;168;1.661;4.166;6.747;11.751;4.135;82
12073 UCKERMARK ;67.446;49.575;16.932;664;233;21;21;1.219;7.669;8.146;24.893;18.160;6.130;209;128;1.075;2.704;4.156;6.604;2.149;53
LAND INSGESAMT ;1.387.847;982.660;380.578;17.744;5.760;568;537;27.671;156.482;161.246;489.391;392.083;138.265;4.589;2.256;22.552;58.105;92.011;151.521;50.980;1.460
BREMEN ;;;;;;;;;;;;;;;;;;;;;
04011 BREMEN, STADT ;241.557;159.147;78.056;3.060;1.015;235;44;4.854;24.855;26.715;76.758;64.710;38.010;1.016;449;3.461;9.622;16.755;28.168;18.701;451
04012 BREMERHAVEN,STADT ;48.579;33.408;14.196;668;268;28;11;655;5.155;5.777;16.952;13.575;6.054;130;78;769;2.130;3.422;5.242;2.448;50
LAND INSGESAMT ;290.136;192.555;92.252;3.728;1.283;263;55;5.509;30.010;32.492;93.710;78.285;44.064;1.146;527;4.230;11.752;20.177;33.410;21.149;501
HAMBURG ;;;;;;;;;;;;;;;;;;;;;
02000 HAMBURG ;771.573;494.256;266.459;6.350;3.415;956;137;15.154;68.913;75.504;226.823;213.894;153.824;4.181;2.245;13.272;31.780;47.934;90.895;77.117;1.839
LAND INSGESAMT ;771.573;494.256;266.459;6.350;3.415;956;137;15.154;68.913;75.504;226.823;213.894;153.824;4.181;2.245;13.272;31.780;47.934;90.895;77.117;1.839
HESSEN ;;;;;;;;;;;;;;;;;;;;;
RB DARMSTADT ;;;;;;;;;;;;;;;;;;;;;
06411 DARMSTADT,STADT ;71.499;45.045;25.268;718;394;66;8;1.488;6.919;7.313;22.411;20.328;11.572;251;104;907;2.698;5.655;9.740;5.946;94
06412  FRANKFURT AM MAIN,STADT;329.398;182.927;141.663;2.564;1.756;410;78;6.026;26.127;28.878;87.764;93.694;79.289;1.096;242;3.185;11.149;23.434;50.529;52.388;237
06413  OFFENBACH AM MAIN,STADT;54.333;34.579;18.834;541;310;53;16;1.202;5.954;6.432;17.541;14.330;7.952;186;67;697;2.413;4.631;6.894;4.030;54
06414 WIESBADEN,STADT ;142.803;90.390;50.328;1.230;697;134;24;2.507;12.426;14.243;44.486;42.735;23.363;358;143;1.379;5.260;11.280;19.685;12.299;101
06431 BERGSTRASSE ;166.544;111.808;52.358;1.557;664;121;36;3.481;17.775;18.334;54.896;47.450;21.681;570;329;2.743;7.235;12.424;20.673;8.428;209
06432 DARMSTADT-DIEBURG ;180.653;121.083;56.622;1.842;976;107;23;3.630;17.771;19.250;59.014;53.265;24.252;740;312;2.521;7.307;13.550;22.398;9.998;274
06433 GROSS-GERAU ;165.079;113.039;49.647;1.672;608;89;24;2.742;14.583;16.321;49.910;41.122;38.283;490;174;1.825;6.004;11.829;17.378;12.111;202
06434 HOCHTAUNUSKREIS ;162.472;98.712;61.738;1.131;664;168;59;2.791;11.260;12.826;44.013;46.779;41.612;591;161;1.503;5.115;10.109;21.482;23.052;171
06435 MAIN-KINZIG-KREIS ;246.983;163.385;79.708;2.289;1.398;155;48;4.596;24.328;26.384;83.465;74.112;29.826;1.005;355;3.477;10.426;20.283;32.655;11.930;336
06436 MAIN-TAUNUS-KREIS ;178.950;107.007;69.904;1.054;851;105;29;2.536;11.574;12.969;45.688;49.285;53.114;519;134;1.374;4.755;10.099;22.732;30.517;141
06437 ODENWALDKREIS ;60.130;39.536;19.540;726;279;45;4;1.131;6.551;7.118;20.376;17.514;6.540;233;120;1.112;2.898;4.968;7.692;2.568;89
06438 OFFENBACH ;206.987;138.193;65.689;1.910;1.062;95;38;4.284;19.411;20.812;65.754;61.534;29.752;628;248;2.235;7.440;14.624;26.777;13.868;165
06439 RHEINGAU-TAUNUS-KREIS ;117.288;77.195;38.456;1.083;431;90;33;2.022;10.135;11.683;38.908;37.474;14.705;509;153;1.450;4.640;9.396;16.445;6.059;178
06440 WETTERAUKREIS ;182.600;120.543;59.515;1.631;769;112;30;3.575;17.823;19.274;61.339;55.168;22.411;674;291;2.495;7.814;14.371;24.807;9.264;248
RB ZUSAMMEN ;2.265.719;1.443.442;789.270;19.948;10.859;1.750;450;42.011;202.637;221.837;695.565;654.790;404.352;7.850;2.833;26.903;85.154;166.653;299.887;202.458;2.499
RB GIESSEN ;;;;;;;;;;;;;;;;;;;;;
06531 GIESSEN ;146.603;94.309;49.732;1.800;630;89;43;2.683;14.695;15.926;49.924;43.423;17.535;366;241;2.286;6.592;12.374;20.049;7.768;122
06532 LAHN-DILL-KREIS ;157.044;102.900;52.072;1.574;363;93;42;2.606;15.345;16.911;53.836;46.977;18.326;645;292;2.385;7.176;13.086;21.116;7.602;216
06533 LIMBURG-WEILBURG ;107.224;67.794;37.765;1.223;358;52;32;1.711;10.156;11.442;36.723;33.034;12.560;453;147;1.535;4.875;9.399;15.934;5.646;147
06534 MARBURG-BIEDENKOPF ;137.154;91.333;43.863;1.450;381;107;20;2.126;13.109;14.153;47.480;42.246;15.916;607;244;2.000;5.810;11.200;18.210;6.052;215
06535 VOGELSBERGKREIS ;69.203;44.894;23.301;742;200;40;26;1.174;7.340;8.059;24.319;20.236;6.942;244;136;1.329;3.517;5.901;9.461;2.779;85
RB ZUSAMMEN ;617.228;401.230;206.733;6.789;1.932;381;163;10.300;60.645;66.491;212.282;185.916;71.279;2.315;1.060;9.535;27.970;51.960;84.770;29.847;785
RB KASSEL ;;;;;;;;;;;;;;;;;;;;;
06611 KASSEL,STADT ;86.909;57.027;28.365;1.137;280;87;13;1.495;8.847;9.027;27.284;25.137;13.641;345;177;1.373;3.811;6.090;10.566;6.062;138
06631 FULDA ;135.213;87.099;46.292;1.377;338;68;39;2.131;13.470;14.819;46.230;40.848;15.849;534;243;2.417;6.542;11.183;18.769;6.810;174
06632 HERSFELD-ROTENBURG ;75.744;50.090;24.490;978;122;45;19;1.271;8.407;8.513;27.027;22.038;7.437;314;131;1.345;3.557;6.061;10.147;3.073;94
06633 KASSEL, LAND ;143.215;98.213;42.678;1.909;285;100;30;2.280;14.236;13.788;46.916;44.356;19.522;505;295;2.361;6.087;9.896;17.221;6.399;193
06634 SCHWALM-EDER-KREIS ;113.817;75.210;36.509;1.752;238;75;33;1.754;11.740;11.992;39.507;33.714;13.573;457;204;2.006;5.316;8.962;14.460;5.246;167
06635 WALDECK-FRANKENBERG ;100.050;65.161;33.141;1.453;208;61;26;1.846;9.948;10.738;34.767;29.794;11.079;529;207;1.715;4.728;8.366;13.256;4.573;171
06636 WERRA-MEISSNER-KREIS ;60.967;40.268;19.717;843;98;25;16;1.102;7.007;7.018;21.253;17.675;6.102;275;133;1.187;2.959;4.969;7.870;2.421;119
RB ZUSAMMEN ;715.915;473.068;231.192;9.449;1.569;461;176;11.879;73.655;75.895;242.984;213.562;87.203;2.959;1.390;12.404;33.000;55.527;92.289;34.584;1.056
LAND INSGESAMT ;3.598.862;2.317.740;1.227.195;36.186;14.360;2.592;789;64.190;336.937;364.223;1.150.831;1.054.268;562.834;13.124;5.283;48.842;146.124;274.140;476.946;266.889;4.340
MECKLENBURG-VORPOMMERN ;;;;;;;;;;;;;;;;;;;;;
13003 ROSTOCK, STADT ;82.595;58.713;22.614;850;345;33;40;942;6.758;8.488;29.341;25.709;10.618;212;110;1.026;2.947;5.159;9.169;4.015;102
13004 SCHWERIN, STADT ;42.893;29.596;12.605;464;179;24;25;504;3.609;4.517;15.324;13.070;5.576;111;64;626;1.654;2.781;5.220;2.195;39
13071 MECKLENBURGISCHE SEENPLA. ;141.418;95.732;43.994;1.181;441;32;38;2.029;14.625;17.462;52.002;40.506;13.112;511;242;2.757;7.147;11.167;17.128;5.235;184
13072 ROSTOCK ;121.157;78.684;40.856;1.174;360;33;50;1.609;11.165;13.748;43.403;36.844;12.966;397;216;2.218;5.978;10.139;16.440;5.609;138
13073 VORPOMMERN-RUEGEN ;118.940;81.130;36.318;1.009;404;47;32;1.547;10.767;13.384;43.512;36.006;12.347;346;200;2.149;5.522;8.831;14.519;4.861;122
13074 NORDWESTMECKLENBURG ;86.837;57.899;27.600;1.099;205;13;21;1.196;8.274;9.986;31.785;26.072;8.368;339;175;1.632;4.353;6.981;11.043;3.208;123
13075 VORPOMMERN-GREIFSWALD ;122.454;86.459;34.465;1.038;418;35;39;1.952;12.544;14.449;45.586;35.324;11.264;416;221;2.052;5.344;8.629;13.790;4.181;137
13076 LUDWIGSLUST-PARCHIM ;124.674;81.083;41.560;1.711;232;35;53;1.881;12.765;15.606;47.058;35.299;10.201;630;256;2.633;7.036;11.094;16.000;4.229;187
LAND INSGESAMT ;840.968;569.296;260.012;8.526;2.584;252;298;11.660;80.507;97.640;308.011;248.830;84.452;2.962;1.484;15.093;39.981;64.781;103.309;33.533;1.032
NIEDERSACHSEN ;;;;;;;;;;;;;;;;;;;;;
RB BRAUNSCHWEIG ;;;;;;;;;;;;;;;;;;;;;
03101 BRAUNSCHWEIG,STADT ;134.318;83.261;48.563;1.567;641;242;44;2.253;11.530;10.729;38.301;39.187;28.119;2.403;272;1.851;4.666;8.398;16.864;15.455;857
03102 SALZGITTER,STADT ;53.037;35.901;16.017;985;100;28;6;959;6.099;5.976;18.391;15.187;5.706;192;93;975;2.438;4.011;6.226;2.152;57
03103 WOLFSBURG,STADT ;139.389;81.614;55.843;749;748;410;25;1.333;5.241;4.064;16.880;19.636;90.118;1.037;207;1.002;2.402;3.984;7.462;40.500;195
03151 GIFHORN ;101.391;63.150;36.740;1.209;249;35;8;1.729;10.641;9.651;32.578;32.509;12.780;293;271;2.508;5.756;9.064;14.290;4.533;124
03153 GOSLAR ;77.764;51.975;24.570;1.004;175;22;18;1.274;7.650;7.852;26.061;24.587;9.306;318;148;1.189;3.341;5.626;10.326;3.703;135
03154 HELMSTEDT ;53.523;34.669;17.940;786;95;29;4;1.158;5.938;4.921;16.616;17.053;7.016;228;147;1.143;2.522;3.968;7.332;2.646;91
03155 NORTHEIM ;84.216;57.331;25.714;1.002;108;39;22;1.636;9.554;9.188;28.842;23.885;9.447;482;193;1.473;3.787;6.401;9.919;3.656;192
03157 PEINE ;79.933;54.482;23.837;1.401;160;42;11;1.498;9.553;8.772;28.220;22.638;8.111;304;164;1.455;3.730;6.210;9.288;2.748;117
03158 WOLFENBUETTEL ;72.329;48.830;22.220;1.070;157;33;19;1.354;7.566;7.281;24.412;22.551;8.023;340;163;1.321;3.216;5.394;9.075;2.840;143
03159 GOETTINGEN ;177.914;119.932;55.277;2.151;433;89;32;3.713;19.765;19.207;59.586;51.708;20.168;1.064;419;3.370;8.122;12.932;21.736;7.984;477
RB ZUSAMMEN ;973.814;631.145;326.721;11.924;2.866;969;189;16.907;93.537;87.641;289.887;268.941;198.794;6.661;2.077;16.287;39.980;65.988;112.518;86.217;2.388
RB HANNOVER ;;;;;;;;;;;;;;;;;;;;;
03241 HANNOVER ;564.676;377.082;177.365;7.683;1.954;455;137;11.438;60.011;58.300;186.167;163.466;76.376;2.385;1.006;8.201;22.662;40.514;69.807;33.680;942
03251 DIEPHOLZ ;133.752;87.702;43.679;1.865;355;120;31;2.241;14.434;15.260;47.547;38.243;13.934;481;312;2.703;6.548;11.108;17.046;5.528;194
03252 HAMELN-PYRMONT ;88.980;62.021;25.435;1.156;296;57;15;1.996;10.809;10.211;30.471;23.802;8.851;595;237;1.632;4.006;6.286;9.608;3.250;234
03254 HILDESHEIM ;155.321;107.048;45.959;1.827;399;62;26;2.713;16.582;16.263;53.867;46.460;17.190;501;339;2.585;6.536;11.214;18.634;6.233;197
03255 HOLZMINDEN ;43.297;29.959;12.626;632;57;13;10;1.069;5.175;4.657;14.532;11.870;4.743;417;124;780;1.883;3.112;4.813;1.715;131
03256 NIENBURG(WESER) ;73.838;47.892;24.307;1.276;272;75;16;1.403;9.428;9.177;26.399;19.867;6.324;324;214;1.586;4.027;6.365;9.127;2.719;135
03257 SCHAUMBURG ;96.817;66.776;28.191;1.527;266;37;20;2.106;12.111;11.380;33.349;26.664;9.300;363;215;1.738;4.485;7.036;11.035;3.370;142
RB ZUSAMMEN ;1.156.681;778.480;357.562;15.966;3.599;819;255;22.966;128.550;125.248;392.332;330.372;136.718;5.066;2.447;19.225;50.147;85.635;140.070;56.495;1.975
RB LUENEBURG ;;;;;;;;;;;;;;;;;;;;;
03351 CELLE ;105.169;68.072;35.506;1.338;179;50;24;1.919;12.233;12.098;35.774;30.568;11.045;485;287;2.140;5.317;8.607;14.129;4.673;225
03352 CUXHAVEN ;120.104;76.620;40.863;2.204;343;49;25;1.891;13.422;14.342;42.650;34.627;11.242;471;289;2.782;6.365;10.599;16.022;4.437;225
03353 HARBURG ;157.846;100.144;55.050;1.799;722;98;33;2.765;14.896;16.643;51.852;49.032;19.077;798;450;3.348;7.915;12.704;22.225;7.680;353
03354 LUECHOW-DANNENBERG ;29.630;18.014;10.726;801;65;21;3;715;4.523;4.305;10.180;7.166;2.265;187;126;1.107;2.120;2.809;3.514;889;93
03355 LUENEBURG ;99.731;63.193;35.014;1.129;310;73;12;1.763;10.424;11.150;33.282;29.288;12.221;540;331;2.329;5.394;8.462;13.596;4.545;240
03356 OSTERHOLZ ;69.036;46.036;21.539;1.254;145;46;16;1.179;7.625;8.026;25.075;19.366;6.813;218;171;1.275;3.276;5.680;8.284;2.649;92
03357 ROTENBURG(WUEMME) ;106.034;62.452;41.758;1.470;282;55;17;1.657;12.129;12.313;36.807;30.962;10.715;361;247;2.601;6.155;10.134;16.714;5.555;148
03358 HEIDEKREIS ;83.869;52.453;29.936;1.296;139;31;14;1.607;10.049;10.150;29.041;23.064;7.761;471;246;1.910;4.622;7.709;11.572;3.518;219
03359 STADE ;118.667;77.038;39.831;1.311;387;79;21;1.808;12.294;13.232;41.271;35.179;13.191;412;325;2.742;5.985;9.723;15.542;5.118;172
03360 UELZEN ;54.462;35.784;17.955;575;110;28;10;1.012;6.494;6.072;18.849;15.402;5.897;223;159;1.363;2.955;4.385;6.720;2.159;120
03361 VERDEN ;82.785;53.894;27.608;1.080;141;45;17;1.339;8.175;8.788;28.829;24.981;9.358;259;165;1.388;3.889;6.647;11.268;4.028;97
RB ZUSAMMEN ;1.027.333;653.700;355.786;14.257;2.823;575;192;17.655;112.264;117.119;353.610;299.635;109.585;4.425;2.796;22.985;53.993;87.459;139.586;45.251;1.984
RB WESER-EMS ;;;;;;;;;;;;;;;;;;;;;
03401 DELMENHORST,STADT ;40.774;28.671;11.204;682;189;18;10;622;4.600;4.819;14.539;10.770;4.671;139;68;664;1.756;2.943;4.164;1.522;44
03402 EMDEN,STADT ;23.644;16.037;7.118;442;31;10;6;316;2.543;2.476;7.939;6.985;3.100;91;53;402;1.063;1.497;2.822;1.216;42
03403 OLDENBURG(OLDENB),STADT ;84.703;52.381;30.238;1.701;301;67;15;1.464;8.639;8.960;27.521;25.004;11.247;383;236;1.577;3.855;6.682;12.131;5.359;148
03404 OSNABRUECK,STADT ;81.138;52.081;27.404;1.095;457;91;10;1.475;8.315;8.308;26.125;23.975;11.637;250;79;1.001;2.984;5.947;11.314;5.901;89
03405 WILHELMSHAVEN,STADT ;39.040;27.659;10.543;723;97;6;12;593;4.430;4.801;13.495;11.065;4.209;100;80;609;1.661;2.373;4.263;1.444;50
03451 AMMERLAND ;75.879;46.801;27.492;1.372;160;27;27;1.112;7.985;8.787;25.932;22.815;7.917;267;194;1.738;4.031;6.606;11.275;3.370;121
03452 AURICH ;111.888;71.517;37.159;2.935;207;53;17;1.820;13.490;13.062;39.839;31.045;11.118;472;298;2.649;5.804;9.274;14.234;4.539;204
03453 CLOPPENBURG ;93.852;48.884;43.035;1.778;107;36;12;1.261;10.172;12.030;34.197;26.926;7.520;246;247;2.878;6.635;12.022;16.486;4.309;115
03454 EMSLAND ;188.422;101.417;82.625;3.984;315;72;9;2.222;16.668;21.045;66.950;60.272;19.065;658;360;3.851;11.025;21.376;35.069;10.458;268
03455 FRIESLAND ;62.708;40.287;20.666;1.532;176;26;21;1.057;7.564;7.541;21.722;17.933;5.927;249;172;1.533;3.236;4.981;8.182;2.324;104
03456 GRAFSCHAFT BENTHEIM ;79.573;40.261;36.321;2.784;170;27;10;1.040;7.156;9.718;27.946;25.019;7.849;219;159;1.598;5.041;10.019;15.003;4.298;88
03457 LEER ;97.875;60.363;34.690;2.590;182;36;14;1.482;11.900;12.585;35.302;27.043;8.257;309;241;2.556;5.571;8.813;13.524;3.618;130
03458 OLDENBURG(OLDENBURG) ;79.508;48.636;29.069;1.546;187;56;14;1.242;8.356;9.184;27.691;23.264;8.407;227;208;1.725;4.319;7.489;11.412;3.634;87
03459 OSNABRUECK ;218.601;139.360;75.534;3.035;525;119;28;3.763;24.243;24.300;78.297;63.024;21.902;833;368;3.818;10.449;19.979;30.493;9.820;337
03460 VECHTA ;81.680;45.278;35.040;1.108;205;32;17;1.233;8.167;9.162;29.052;24.932;8.128;189;176;1.894;4.643;9.150;14.402;4.576;63
03461 WESERMARSCH ;51.310;32.207;17.739;1.244;78;26;16;840;5.853;6.527;18.268;14.298;4.759;214;141;1.216;2.928;4.596;6.748;1.908;93
03462 WITTMUND ;34.320;21.962;11.418;853;68;11;8;651;4.470;4.150;12.251;9.290;2.909;183;98;900;1.937;2.887;4.276;1.186;74
RB ZUSAMMEN ;1.444.915;873.802;537.295;29.404;3.455;713;246;22.193;154.551;167.455;507.066;423.660;148.622;5.029;3.178;30.609;76.938;136.634;215.798;69.482;2.057
LAND INSGESAMT ;4.602.743;2.937.127;1.577.364;71.551;12.743;3.076;882;79.721;488.902;497.463;1.542.895;1.322.608;593.719;21.181;10.498;89.106;221.058;375.716;607.972;257.445;8.404
NORDRHEIN-WESTFALEN ;;;;;;;;;;;;;;;;;;;;;
RB DUESSELDORF ;;;;;;;;;;;;;;;;;;;;;
05111 DUESSELDORF, STADT ;304.410;179.096;119.816;3.548;1.624;259;67;6.429;26.308;27.777;82.889;89.816;64.102;1.159;326;3.553;10.677;19.837;46.389;38.259;405
05112 DUISBURG,STADT ;224.159;158.934;59.107;5.460;575;43;40;4.196;25.343;27.863;78.535;58.419;25.684;558;158;2.396;8.602;16.127;21.551;9.755;239
05113 ESSEN,STADT ;282.160;197.534;78.681;4.847;891;155;52;5.030;27.500;29.352;91.235;82.909;42.277;506;153;2.637;8.695;16.851;31.894;18.020;139
05114 KREFELD,STADT ;115.344;78.362;34.023;2.578;309;51;21;2.292;11.928;12.785;38.770;32.170;15.403;341;124;1.304;4.504;7.962;13.513;6.367;128
05116 MOENCHENGLADBACH,STADT ;133.719;90.635;39.677;2.944;381;53;29;2.711;13.871;15.236;44.876;37.325;17.339;485;164;1.514;5.053;9.631;15.727;7.236;218
05117 MUELHEIM A.D.RUHR,STADT ;91.485;65.071;24.683;1.370;316;35;10;1.818;9.094;9.578;30.061;26.961;12.472;169;71;973;3.001;5.639;10.142;4.683;51
05119 OBERHAUSEN,STADT ;107.834;79.221;26.072;2.209;288;27;17;2.090;11.456;12.125;37.335;30.050;13.226;321;116;1.020;3.434;6.641;10.036;4.601;125
05120 REMSCHEID,STADT ;59.746;41.401;17.308;811;184;25;17;918;5.313;5.742;19.530;18.399;8.843;135;62;586;2.006;4.256;6.971;3.306;40
05122 SOLINGEN,STADT ;89.407;62.308;25.367;1.276;353;88;15;1.766;9.411;9.314;29.327;24.061;13.847;284;124;998;3.220;5.633;8.978;6.219;72
05124 WUPPERTAL,STADT ;166.529;114.136;49.137;2.506;600;104;46;2.929;16.478;17.379;55.067;48.308;23.638;419;159;1.799;5.936;11.814;19.392;9.696;158
05154 KLEVE ;184.166;106.844;69.127;7.624;476;64;31;3.213;19.298;23.867;63.669;52.667;18.421;886;461;3.783;10.829;17.962;26.928;8.487;444
05158 METTMANN ;286.262;191.322;89.543;3.889;1.287;170;51;4.886;26.097;28.442;92.807;87.112;42.696;696;301;3.272;10.278;18.924;37.186;18.980;235
05162 NEUSS ;263.272;175.482;82.412;4.208;981;129;60;5.339;22.876;26.293;84.884;78.391;37.310;1.418;419;2.955;9.931;18.443;33.480;16.087;657
05166 VIERSEN ;180.822;117.617;57.185;5.529;394;61;36;3.441;18.417;20.554;61.558;52.330;20.697;728;292;2.497;7.716;13.998;23.612;8.493;308
05170 WESEL ;276.124;185.055;82.157;8.052;732;82;46;4.729;27.280;30.949;95.592;80.489;33.436;865;383;3.641;10.974;20.445;33.172;12.910;359
RB ZUSAMMEN ;2.765.439;1.843.018;854.295;56.851;9.391;1.346;538;51.787;270.670;297.256;906.135;799.407;389.391;8.970;3.313;32.928;104.856;194.163;338.971;173.099;3.578
RB KOELN ;;;;;;;;;;;;;;;;;;;;;
05314 BONN,STADT ;174.525;97.654;74.279;1.620;832;114;26;3.837;14.757;15.598;47.072;53.591;35.354;1.041;346;2.024;5.773;11.249;30.249;24.010;410
05315 KOELN,STADT ;469.677;299.172;161.675;5.459;2.715;506;150;9.306;41.906;48.377;145.061;128.226;86.742;1.964;552;5.326;17.639;33.510;58.803;44.544;670
05316 LEVERKUSEN,STADT ;86.874;59.566;25.676;1.182;419;20;11;1.671;8.420;9.252;28.635;24.373;13.278;236;105;1.087;3.448;6.036;9.449;5.354;96
05334 AACHEN, STAEDTEREGION ;282.849;181.920;93.670;6.037;931;243;48;4.914;26.270;30.338;92.204;84.911;39.455;753;526;3.998;11.676;22.232;37.231;17.205;268
05358 DUEREN ;155.167;102.175;49.725;2.759;380;75;53;2.930;15.582;17.818;52.424;45.685;18.082;554;278;2.685;7.241;12.324;19.689;7.016;206
05362 RHEIN-ERFT-KREIS ;269.323;183.085;81.428;3.667;934;113;96;5.032;24.934;29.885;89.813;79.525;36.166;1.025;421;3.496;11.381;19.055;32.265;14.141;422
05366 EUSKIRCHEN ;132.197;81.456;48.119;2.177;337;74;34;1.977;11.882;14.111;41.017;34.000;27.161;420;238;2.114;6.239;10.732;16.110;12.281;172
05370 HEINSBERG ;152.127;92.778;53.199;5.603;447;74;26;2.697;15.674;18.314;51.946;44.050;17.263;685;334;2.689;7.676;13.532;21.074;7.463;262
05374 OBERBERGISCHER KREIS ;170.876;111.816;56.170;2.278;472;96;44;2.873;16.155;18.645;59.169;50.383;20.733;839;297;2.632;8.188;13.961;22.039;8.557;317
05378 RHEIN.-BERGISCHER KREIS ;174.409;118.393;52.886;2.278;733;95;24;3.406;16.237;18.279;56.929;52.162;23.768;617;291;2.418;6.994;12.159;21.591;8.901;231
05382 RHEIN-SIEG-KREIS ;352.162;234.725;110.097;5.596;1.500;164;80;6.685;34.666;39.989;120.721;102.779;41.819;1.448;569;5.155;15.731;27.318;43.998;16.408;568
RB ZUSAMMEN ;2.420.186;1.562.740;806.924;38.656;9.700;1.574;592;45.328;226.483;260.606;784.991;699.685;359.821;9.582;3.957;33.624;101.986;182.108;312.498;165.880;3.622
RB MUENSTER ;;;;;;;;;;;;;;;;;;;;;
05512 BOTTROP,STADT ;65.615;48.894;15.151;1.356;186;20;8;1.242;6.634;6.989;22.003;18.525;7.809;213;65;639;2.041;3.657;6.047;2.495;90
05513 GELSENKIRCHEN,STADT ;118.969;87.097;28.896;2.517;391;58;10;2.682;13.399;13.914;40.129;31.213;14.542;621;128;1.231;4.164;7.780;10.617;4.683;169
05515 MUENSTER,STADT ;140.957;87.423;50.795;2.145;444;123;27;2.723;13.673;14.489;44.596;41.914;20.903;465;276;2.087;5.666;10.602;20.510;11.152;201
05554 BORKEN ;212.696;121.850;83.702;6.657;365;93;29;2.899;19.244;24.232;75.003;64.413;23.476;783;362;3.487;11.355;21.907;34.347;11.630;322
05558 COESFELD ;132.694;81.895;47.502;2.691;544;45;17;2.041;12.733;15.423;46.439;40.186;13.919;386;259;2.337;6.593;11.950;19.853;6.134;160
05562 RECKLINGHAUSEN ;340.582;245.172;87.637;6.495;1.101;111;66;5.961;35.229;36.842;117.882;99.998;39.640;908;341;3.641;11.935;21.714;36.198;13.110;379
05566 STEINFURT ;258.928;161.180;92.295;4.668;626;128;31;3.875;25.834;29.632;92.740;76.040;26.667;996;444;4.138;12.812;23.757;37.701;12.652;439
05570 WARENDORF ;162.978;106.219;53.568;2.750;359;63;19;3.052;17.736;18.999;57.940;45.975;16.342;695;338;2.906;8.008;13.630;21.169;6.977;268
RB ZUSAMMEN ;1.433.419;939.730;459.546;29.279;4.016;641;207;24.475;144.482;160.520;496.732;418.264;163.298;5.067;2.213;20.466;62.574;114.997;186.442;68.833;2.028
RB DETMOLD ;;;;;;;;;;;;;;;;;;;;;
05711 BIELEFELD,STADT ;162.784;106.746;53.057;2.184;600;164;33;2.738;16.926;17.899;54.155;45.970;22.450;476;334;2.909;7.454;12.528;19.362;10.013;183
